cellular_component	defined_class
http://purl.obolibrary.org/obo/CL_0000162	http://purl.obolibrary.org/obo/UPHENO_0079639
http://purl.obolibrary.org/obo/CL_1000495	http://purl.obolibrary.org/obo/UPHENO_0079640
http://purl.obolibrary.org/obo/CL_0000047	http://purl.obolibrary.org/obo/UPHENO_0079641
http://purl.obolibrary.org/obo/CL_0000960	http://purl.obolibrary.org/obo/UPHENO_0079642
http://purl.obolibrary.org/obo/CL_0000048	http://purl.obolibrary.org/obo/UPHENO_0079643
http://purl.obolibrary.org/obo/CL_0000169	http://purl.obolibrary.org/obo/UPHENO_0079644
http://purl.obolibrary.org/obo/CL_0000049	http://purl.obolibrary.org/obo/UPHENO_0079645
http://purl.obolibrary.org/obo/CL_0000164	http://purl.obolibrary.org/obo/UPHENO_0079646
http://purl.obolibrary.org/obo/CL_0000165	http://purl.obolibrary.org/obo/UPHENO_0079647
http://purl.obolibrary.org/obo/CL_0000287	http://purl.obolibrary.org/obo/UPHENO_0079648
http://purl.obolibrary.org/obo/CL_0002343	http://purl.obolibrary.org/obo/UPHENO_0079649
http://purl.obolibrary.org/obo/CL_0000617	http://purl.obolibrary.org/obo/UPHENO_0079650
http://purl.obolibrary.org/obo/CL_0000738	http://purl.obolibrary.org/obo/UPHENO_0079651
http://purl.obolibrary.org/obo/CL_0000974	http://purl.obolibrary.org/obo/UPHENO_0079652
http://purl.obolibrary.org/obo/CL_0000975	http://purl.obolibrary.org/obo/UPHENO_0079653
http://purl.obolibrary.org/obo/CL_0000855	http://purl.obolibrary.org/obo/UPHENO_0079654
http://purl.obolibrary.org/obo/CL_0000050	http://purl.obolibrary.org/obo/UPHENO_0079655
http://purl.obolibrary.org/obo/CL_0000171	http://purl.obolibrary.org/obo/UPHENO_0079656
http://purl.obolibrary.org/obo/CL_0000051	http://purl.obolibrary.org/obo/UPHENO_0079657
http://purl.obolibrary.org/obo/CL_0000173	http://purl.obolibrary.org/obo/UPHENO_0079658
