defined_class	defined_class_label	biological_process	biological_process_label
http://purl.obolibrary.org/obo/ZP_0146282	developmental process involved in reproduction delayed, abnormal	http://purl.obolibrary.org/obo/GO_0003006	developmental process involved in reproduction
http://purl.obolibrary.org/obo/ZP_0004746	digestive tract development delayed, abnormal	http://purl.obolibrary.org/obo/GO_0048565	digestive tract development
http://purl.obolibrary.org/obo/ZP_0005981	dopaminergic neuron differentiation delayed, abnormal	http://purl.obolibrary.org/obo/GO_0071542	dopaminergic neuron differentiation
http://purl.obolibrary.org/obo/ZP_0001813	dorsal convergence delayed, abnormal	http://purl.obolibrary.org/obo/GO_0060030	dorsal convergence
http://purl.obolibrary.org/obo/ZP_0013949	ear morphogenesis delayed, abnormal	http://purl.obolibrary.org/obo/GO_0042471	ear morphogenesis
http://purl.obolibrary.org/obo/ZP_0148492	egg-laying behavior delayed, abnormal	http://purl.obolibrary.org/obo/GO_0018991	egg-laying behavior
http://purl.obolibrary.org/obo/ZP_0000594	embryo development delayed, abnormal	http://purl.obolibrary.org/obo/GO_0009790	embryo development
http://purl.obolibrary.org/obo/ZP_0140316	embryo development ending in birth or egg hatching delayed, abnormal	http://purl.obolibrary.org/obo/GO_0009792	embryo development ending in birth or egg hatching
http://purl.obolibrary.org/obo/ZP_0005304	embryonic camera-type eye development delayed, abnormal	http://purl.obolibrary.org/obo/GO_0031076	embryonic camera-type eye development
http://purl.obolibrary.org/obo/ZP_0006590	embryonic cleavage delayed, abnormal	http://purl.obolibrary.org/obo/GO_0040016	embryonic cleavage
http://purl.obolibrary.org/obo/ZP_0017173	embryonic heart tube development delayed, abnormal	http://purl.obolibrary.org/obo/GO_0035050	embryonic heart tube development
http://purl.obolibrary.org/obo/ZP_0001228	embryonic heart tube elongation delayed, abnormal	http://purl.obolibrary.org/obo/GO_0036306	embryonic heart tube elongation
http://purl.obolibrary.org/obo/ZP_0103792	embryonic hemopoiesis delayed, abnormal	http://purl.obolibrary.org/obo/GO_0035162	embryonic hemopoiesis
http://purl.obolibrary.org/obo/ZP_0138611	embryonic liver development delayed, abnormal	http://purl.obolibrary.org/obo/GO_1990402	embryonic liver development
http://purl.obolibrary.org/obo/ZP_0016935	embryonic organ development delayed, abnormal	http://purl.obolibrary.org/obo/GO_0048568	embryonic organ development
http://purl.obolibrary.org/obo/ZP_0002688	embryonic retina morphogenesis in camera-type eye delayed, abnormal	http://purl.obolibrary.org/obo/GO_0060059	embryonic retina morphogenesis in camera-type eye
http://purl.obolibrary.org/obo/ZP_0020380	embryonic viscerocranium morphogenesis delayed, abnormal	http://purl.obolibrary.org/obo/GO_0048703	embryonic viscerocranium morphogenesis
http://purl.obolibrary.org/obo/ZP_0148773	endocardial cushion morphogenesis delayed, abnormal	http://purl.obolibrary.org/obo/GO_0003203	endocardial cushion morphogenesis
http://purl.obolibrary.org/obo/ZP_0002320	endochondral bone morphogenesis delayed, abnormal	http://purl.obolibrary.org/obo/GO_0060350	endochondral bone morphogenesis
http://purl.obolibrary.org/obo/ZP_0009445	endochondral ossification delayed, abnormal	http://purl.obolibrary.org/obo/GO_0001958	endochondral ossification
http://purl.obolibrary.org/obo/ZP_0011395	endothelial cell migration delayed, abnormal	http://purl.obolibrary.org/obo/GO_0043542	endothelial cell migration
http://purl.obolibrary.org/obo/ZP_0144776	endothelial tube lumen extension involved in blood vessel lumen ensheathment delayed, abnormal	http://purl.obolibrary.org/obo/GO_1902355	endothelial tube lumen extension involved in blood vessel lumen ensheathment
http://purl.obolibrary.org/obo/ZP_0001325	epiboly delayed, abnormal	http://purl.obolibrary.org/obo/GO_0090504	epiboly
http://purl.obolibrary.org/obo/ZP_0000567	epiboly involved in gastrulation with mouth forming second delayed, abnormal	http://purl.obolibrary.org/obo/GO_0055113	epiboly involved in gastrulation with mouth forming second
http://purl.obolibrary.org/obo/ZP_0022719	epithelial to mesenchymal transition delayed, abnormal	http://purl.obolibrary.org/obo/GO_0001837	epithelial to mesenchymal transition
http://purl.obolibrary.org/obo/ZP_0008498	equilibrioception delayed, abnormal	http://purl.obolibrary.org/obo/GO_0050957	equilibrioception
